user_id,full_name,email,city,signup_date
86,María Mendoza,user86@example.com,Chiclayo,2023-08-02
87,Sofía Vargas,user87@example.com,Huancayo,2024-04-16
88,Valeria Rojas,user88@example.com,Iquitos,2024-02-02
89,Miguel Flores,user89@example.com,Chiclayo,2023-11-30
90,Daniel Vargas,user90@example.com,Trujillo,2025-01-10
91,Elena Sánchez,user91@example.com,Cusco,2023-08-11
92,Valeria Sánchez,user92@example.com,Cusco,2025-06-13
93,Valeria Mendoza,user93@example.com,Chiclayo,2025-07-10
94,Miguel Castro,user94@example.com,Huancayo,2024-01-19
95,Daniel Torres,user95@example.com,Cusco,2024-02-07
96,María Rojas,user96@example.com,Arequipa,2024-07-09
97,Daniel Rojas,user97@example.com,Piura,2025-07-15
98,Camila Guzmán,user98@example.com,Huancayo,2023-02-22
99,Carlos Sánchez,user99@example.com,Chiclayo,2024-07-18
100,Andrés Huamán,user100@example.com,Huancayo,2024-06-13
101,Sofía Huamán,user101@example.com,Iquitos,2023-01-25
102,Valeria Sánchez,user102@example.com,Huancayo,2024-08-04
103,Daniel Huamán,user103@example.com,Piura,2025-02-02
104,Daniel Guzmán,user104@example.com,Trujillo,2024-10-18
105,Sofía Guzmán,user105@example.com,Cusco,2023-06-04
106,Sofía Flores,user106@example.com,Iquitos,2023-09-09
107,Camila Salazar,user107@example.com,Trujillo,2025-02-19
108,Andrés Rojas,user108@example.com,Chiclayo,2024-09-17
109,Andrés Guzmán,user109@example.com,Lima,2024-11-23
110,Luis Romero,user110@example.com,Arequipa,2023-01-22
111,Ana García,user111@example.com,Chiclayo,2025-05-23
112,Luis Flores,user112@example.com,Chiclayo,2023-07-27
113,Valeria Huamán,user113@example.com,Cusco,2023-11-11
114,Camila Romero,user114@example.com,Chiclayo,2024-09-30
115,Andrés Flores,user115@example.com,Iquitos,2024-05-01
116,Jorge Salazar,user116@example.com,Trujillo,2023-10-24
117,Lucía Romero,user117@example.com,Trujillo,2025-07-11
118,Andrés Huamán,user118@example.com,Trujillo,2024-03-01
119,Luis Castro,user119@example.com,Huancayo,2023-06-12
120,Elena Castro,user120@example.com,Iquitos,2024-12-17
121,Lucía Salazar,user121@example.com,Cusco,2023-04-27
122,Daniel Huamán,user122@example.com,Iquitos,2023-04-10
123,Diego García,user123@example.com,Trujillo,2025-06-20
124,Sofía Rojas,user124@example.com,Huancayo,2024-05-03
125,María García,user125@example.com,Chiclayo,2024-03-27
126,Pedro Guzmán,user126@example.com,Trujillo,2024-04-03
127,Andrés García,user127@example.com,Iquitos,2024-11-18
128,Pedro Flores,user128@example.com,Chiclayo,2023-03-29
129,Andrés Flores,user129@example.com,Arequipa,2023-07-01
130,María Guzmán,user130@example.com,Piura,2024-11-24
131,Sofía Huamán,user131@example.com,Arequipa,2025-03-20
132,Daniel Sánchez,user132@example.com,Chiclayo,2023-10-27
133,Valeria Romero,user133@example.com,Chiclayo,2024-09-09
134,Diego Rojas,user134@example.com,Lima,2024-09-28
135,Andrés Guzmán,user135@example.com,Huancayo,2023-06-23
136,Jorge Torres,user136@example.com,Cusco,2024-06-09
137,Lucía Castro,user137@example.com,Lima,2024-05-16
138,Jorge Huamán,user138@example.com,Lima,2024-10-26
139,Carlos Salazar,user139@example.com,Piura,2023-09-27
140,Miguel Vargas,user140@example.com,Chiclayo,2023-02-11
141,Lucía Salazar,user141@example.com,Iquitos,2024-11-06
142,Luis Flores,user142@example.com,Lima,2023-05-14
143,Camila Guzmán,user143@example.com,Lima,2025-01-22
144,Pedro García,user144@example.com,Piura,2024-01-25
145,Carlos Rojas,user145@example.com,Huancayo,2024-02-02
146,Ana Salazar,user146@example.com,Piura,2024-12-14
147,Sofía Flores,user147@example.com,Chiclayo,2025-04-02
148,Elena Vargas,user148@example.com,Huancayo,2024-12-25
149,Jorge Huamán,user149@example.com,Chiclayo,2025-01-06
150,Lucía Castro,user150@example.com,Cusco,2024-05-15
151,Lucía Torres,user151@example.com,Arequipa,2025-07-24
152,Miguel Mendoza,user152@example.com,Arequipa,2025-04-04
153,Daniel Flores,user153@example.com,Arequipa,2023-01-24
154,Diego Huamán,user154@example.com,Arequipa,2023-09-06
155,Luis Huamán,user155@example.com,Chiclayo,2023-03-08
156,María Guzmán,user156@example.com,Cusco,2025-03-08
157,Luis Romero,user157@example.com,Lima,2025-01-10
158,Ana Salazar,user158@example.com,Chiclayo,2025-06-10
159,Andrés Guzmán,user159@example.com,Arequipa,2023-06-09
160,Pedro Mendoza,user160@example.com,Iquitos,2024-10-08
161,Camila Flores,user161@example.com,Arequipa,2024-09-19
162,Luis García,user162@example.com,Trujillo,2023-07-24
163,Andrés Salazar,user163@example.com,Arequipa,2023-07-10
164,Luis Salazar,user164@example.com,Arequipa,2023-01-04
165,Sofía Mendoza,user165@example.com,Cusco,2023-08-04
166,Ana Salazar,user166@example.com,Arequipa,2024-02-01
167,Jorge Mendoza,user167@example.com,Cusco,2024-05-02
168,Camila Sánchez,user168@example.com,Iquitos,2024-09-11
169,Valeria Huamán,user169@example.com,Iquitos,2023-10-22
170,Valeria Mendoza,user170@example.com,Lima,2024-03-29
171,María Castro,user171@example.com,Lima,2023-03-23
172,María Sánchez,user172@example.com,Piura,2023-05-28
173,Andrés Castro,user173@example.com,Cusco,2024-12-17
174,Luis Salazar,user174@example.com,Arequipa,2023-07-12
175,María Flores,user175@example.com,Cusco,2023-06-16
176,Sofía Mendoza,user176@example.com,Piura,2024-09-07
177,Sofía Castro,user177@example.com,Piura,2023-08-12
178,Sofía Torres,user178@example.com,Chiclayo,2025-01-23
179,Carlos Castro,user179@example.com,Lima,2024-11-01
180,Andrés Mendoza,user180@example.com,Piura,2023-10-16
181,Diego Huamán,user181@example.com,Arequipa,2023-03-05
182,Luis Rojas,user182@example.com,Chiclayo,2025-07-13
183,Valeria García,user183@example.com,Huancayo,2023-03-23
184,Daniel Salazar,user184@example.com,Iquitos,2023-01-13
185,Valeria Mendoza,user185@example.com,Arequipa,2023-11-23
186,Pedro Flores,user186@example.com,Arequipa,2024-08-05
187,Lucía Salazar,user187@example.com,Chiclayo,2024-04-06
188,Jorge Salazar,user188@example.com,Iquitos,2024-01-15
189,Miguel Torres,user189@example.com,Iquitos,2023-11-17
190,Elena Salazar,user190@example.com,Cusco,2023-08-22
191,Pedro Huamán,user191@example.com,Lima,2024-12-08
192,Jorge Vargas,user192@example.com,Iquitos,2025-06-20
193,Miguel Flores,user193@example.com,Huancayo,2024-04-19
194,Camila Rojas,user194@example.com,Iquitos,2023-06-06
195,María Salazar,user195@example.com,Huancayo,2024-03-05
196,Ana Huamán,user196@example.com,Chiclayo,2024-01-26
197,Camila Mendoza,user197@example.com,Trujillo,2024-02-14
198,Jorge García,user198@example.com,Huancayo,2025-03-21
199,Camila Mendoza,user199@example.com,Trujillo,2023-06-04
200,Pedro Huamán,user200@example.com,Cusco,2023-04-08
201,Ana Vargas,user201@example.com,Iquitos,2023-06-03
202,Lucía Flores,user202@example.com,Cusco,2023-01-23
203,Miguel Vargas,user203@example.com,Trujillo,2023-11-07
204,Camila Castro,user204@example.com,Piura,2023-08-22
205,Carlos Rojas,user205@example.com,Iquitos,2024-03-19
206,Sofía Huamán,user206@example.com,Iquitos,2024-11-12
207,Ana Flores,user207@example.com,Arequipa,2023-03-10
208,Jorge Salazar,user208@example.com,Iquitos,2024-09-14
209,Lucía Huamán,user209@example.com,Cusco,2024-06-15
210,Miguel Sánchez,user210@example.com,Huancayo,2024-05-17
211,Ana Torres,user211@example.com,Trujillo,2023-12-13
212,Daniel Torres,user212@example.com,Huancayo,2024-09-18
213,Luis Guzmán,user213@example.com,Trujillo,2024-06-26
214,Lucía Flores,user214@example.com,Chiclayo,2025-04-06
215,Valeria Huamán,user215@example.com,Chiclayo,2024-08-01
216,Miguel Romero,user216@example.com,Lima,2024-04-02
217,Jorge Vargas,user217@example.com,Cusco,2023-08-03
218,Jorge Salazar,user218@example.com,Cusco,2025-07-20
219,Camila Flores,user219@example.com,Iquitos,2025-03-16
220,Lucía Castro,user220@example.com,Chiclayo,2024-08-14
221,Diego Flores,user221@example.com,Cusco,2025-07-12
222,María Flores,user222@example.com,Cusco,2024-12-26
223,Pedro Guzmán,user223@example.com,Cusco,2025-04-12
224,Camila Sánchez,user224@example.com,Iquitos,2024-07-30
225,Miguel García,user225@example.com,Chiclayo,2024-06-07
226,Andrés Romero,user226@example.com,Huancayo,2025-02-07
227,María Guzmán,user227@example.com,Chiclayo,2023-03-25
228,Elena Rojas,user228@example.com,Iquitos,2024-09-09
229,Andrés Salazar,user229@example.com,Piura,2023-03-10
230,Miguel Vargas,user230@example.com,Cusco,2025-03-21
231,Diego Torres,user231@example.com,Trujillo,2024-01-08
232,Camila García,user232@example.com,Iquitos,2023-09-10
233,Carlos Mendoza,user233@example.com,Lima,2023-12-02
234,Jorge Guzmán,user234@example.com,Iquitos,2024-07-29
235,María Torres,user235@example.com,Chiclayo,2024-05-11
236,Jorge Guzmán,user236@example.com,Cusco,2025-04-23
237,Diego Mendoza,user237@example.com,Cusco,2025-08-03
238,Pedro Guzmán,user238@example.com,Arequipa,2023-10-30
239,Valeria García,user239@example.com,Cusco,2024-06-20
240,Diego Castro,user240@example.com,Piura,2023-09-12
241,Diego Vargas,user241@example.com,Huancayo,2024-12-18
242,Camila García,user242@example.com,Piura,2023-09-25
243,Carlos Huamán,user243@example.com,Piura,2023-01-26
244,Ana Mendoza,user244@example.com,Huancayo,2023-03-22
245,Jorge Rojas,user245@example.com,Trujillo,2024-04-02
246,Daniel Vargas,user246@example.com,Trujillo,2024-08-31
247,Miguel Flores,user247@example.com,Arequipa,2023-10-08
248,Miguel Torres,user248@example.com,Cusco,2024-12-24
249,Pedro Rojas,user249@example.com,Piura,2023-06-16
250,Pedro Huamán,user250@example.com,Chiclayo,2023-01-18
251,Luis García,user251@example.com,Chiclayo,2024-07-19
252,Miguel Flores,user252@example.com,Trujillo,2023-11-19
253,Camila Salazar,user253@example.com,Huancayo,2024-07-17
254,Ana Mendoza,user254@example.com,Huancayo,2024-10-23
255,Jorge Vargas,user255@example.com,Trujillo,2023-12-01
256,Pedro García,user256@example.com,Piura,2023-11-28
257,Pedro Guzmán,user257@example.com,Lima,2025-06-23
258,Elena García,user258@example.com,Trujillo,2024-05-23
259,Luis Romero,user259@example.com,Trujillo,2023-06-05
260,Luis Castro,user260@example.com,Trujillo,2024-12-31
261,Carlos Romero,user261@example.com,Chiclayo,2024-01-01
262,Jorge Romero,user262@example.com,Huancayo,2023-12-18
263,Diego Romero,user263@example.com,Iquitos,2024-02-15
264,Elena García,user264@example.com,Huancayo,2024-10-19
265,Diego Vargas,user265@example.com,Trujillo,2024-07-15
266,Camila Romero,user266@example.com,Cusco,2024-04-04
267,María Romero,user267@example.com,Piura,2023-08-21
268,Carlos García,user268@example.com,Lima,2023-02-23
269,Daniel Salazar,user269@example.com,Cusco,2024-05-05
270,Ana García,user270@example.com,Cusco,2025-02-15
271,Carlos Huamán,user271@example.com,Trujillo,2024-05-27
272,Jorge Flores,user272@example.com,Huancayo,2025-02-13
273,Daniel Mendoza,user273@example.com,Huancayo,2023-01-20
274,Elena Torres,user274@example.com,Iquitos,2023-01-25
275,Daniel Salazar,user275@example.com,Huancayo,2024-07-17
276,Luis García,user276@example.com,Cusco,2024-08-26
277,Ana Sánchez,user277@example.com,Cusco,2024-08-19
278,Miguel García,user278@example.com,Chiclayo,2024-12-19
279,Luis Guzmán,user279@example.com,Chiclayo,2024-06-05
280,Andrés Huamán,user280@example.com,Huancayo,2023-08-06
281,María Castro,user281@example.com,Lima,2025-07-26
282,Daniel Salazar,user282@example.com,Piura,2023-09-30
283,Elena Flores,user283@example.com,Huancayo,2023-06-13
284,Camila Sánchez,user284@example.com,Piura,2023-12-09
285,Carlos Flores,user285@example.com,Piura,2024-02-07
286,Luis Mendoza,user286@example.com,Piura,2024-04-07
287,Ana Rojas,user287@example.com,Huancayo,2023-07-29
288,María Romero,user288@example.com,Lima,2024-02-01
289,Diego Romero,user289@example.com,Cusco,2023-07-24
290,Diego Guzmán,user290@example.com,Piura,2025-05-02
291,Valeria Mendoza,user291@example.com,Cusco,2025-06-26
292,Pedro Torres,user292@example.com,Chiclayo,2024-04-19
293,Ana Mendoza,user293@example.com,Cusco,2024-08-03
294,Andrés Torres,user294@example.com,Cusco,2024-06-07
295,Ana Torres,user295@example.com,Lima,2023-08-10
296,Camila Huamán,user296@example.com,Chiclayo,2023-07-31
297,Miguel Salazar,user297@example.com,Huancayo,2025-01-07
298,Jorge Rojas,user298@example.com,Huancayo,2024-09-08
299,Diego Huamán,user299@example.com,Iquitos,2024-05-06
300,Elena Guzmán,user300@example.com,Piura,2025-03-25
